"id","loc","v(g)","ev(g)","iv(g)","n","v","l","d","i","e","b","t","lOCode","lOComment","lOBlank","locCodeAndComment","uniq_Op","uniq_Opnd","total_Op","total_Opnd","branchCount","defects"
"226","29","4","1","3","69","341.84","0.07","15","20.43","5365.01","0.11","298.06","17","3","5","1","15","13","40","28","7",""
"227","7","2","1","1","10","30","0.33","3","12.18","100","0.01","5.56","5","0","0","0","6","4","6","4","3",""
"228","26","2","1","2","76","376.93","0.14","7.39","50.54","2610.47","0.13","145.03","19","0","6","0","11","23","43","33","3","1"
"229","12","2","1","2","32","125.02","0.15","6.5","18.25","800.63","0.04","44.48","8","0","2","0","7","7","19","13","3",""
"230","11","2","1","2","21","79.95","0.21","4.67","16.65","433.78","0.03","24.1","8","0","1","0","7","6","13","8","3",""
"231","31","1","1","1","111","590.73","0.1","9.64","61.26","5696.36","0.2","316.46","20","2","7","0","7","28","66","45","1",""
"232","58","3","1","3","168","938.27","0.14","7.42","118.54","7832.97","0.31","435.16","33","1","19","0","6","27","104","89","5",""
"233","30","12","10","2","128","618.14","0.05","20.38","31.38","14618.93","0.21","811.36","24","0","4","0","17","20","85","52","23",""
"234","39","6","3","2","115","603.94","0.05","20.65","29.79","12460.75","0.2","692.26","29","0","8","0","19","23","68","47","11",""
"235","54","10","1","4","426","2546.32","0.02","52.7","48.31","134198.01","0.85","7455.45","46","1","10","1","25","37","276","150","18",""
"236","143","56","63","59","715","4558.15","0.02","49.85","96.91","216922.91","1.52","12051.27","125","18","5","0","21","69","467","248","111","1"
"237","64","10","1","1","219","1312.88","0.05","19.32","59.16","31295.11","0.44","1738.62","49","4","7","0","16","39","127","92","19",""
"238","27","2","1","2","59","277.33","0.16","6.11","40.24","1840.73","0.09","102.26","19","2","4","0","10","18","33","26","3",""
"239","119","18","13","7","267","1399.57","0.02","43.75","32.18","67179.48","0.47","3732.19","82","16","12","0","25","20","145","96","35",""
"240","24","1","1","1","88","343.65","0.05","19.5","16.74","6729.82","0.11","373.88","17","0","3","1","6","4","61","27","1",""
"241","107","12","1","8","289","1607.09","0.03","36.4","49.51","61634.6","0.54","3424.14","67","9","24","0","26","45","157","138","22",""
"242","4","2","1","1","19","72.34","0.2","5","13.56","385.81","0.02","21.43","2","0","0","0","7","7","10","9","3",""
"243","99","6","1","3","360","2235.4","0.03","36.4","52.08","43747","0.75","2430.39","76","3","14","0","20","40","215","145","11","1"
"244","15","3","1","3","32","140.55","0.12","8.56","16.29","1260.57","0.05","70.04","10","0","2","0","11","9","18","14","5",""
"245","10","4","1","2","24","100.08","0.13","7.56","12.51","864.96","0.03","48.05","7","0","1","0","11","8","13","11","7",""
"246","19","2","1","2","45","206.32","0.13","7.5","25.67","1572.06","0.07","87.34","14","0","3","0","9","12","25","20","3","1"
"247","5","1","1","1","17","60.94","0.29","3.5","17.41","174.13","0.02","9.67","3","0","0","0","7","7","10","7","1",""
"248","15","2","1","2","36","159.91","0.17","5.91","26.65","959.47","0.05","53.3","11","0","2","0","10","11","23","13","3",""
"249","11","2","1","1","33","140.18","0.09","11.7","11.52","1694.2","0.05","94.12","7","0","1","0","9","5","21","13","3",""
"250","32","9","1","2","130","661.24","0.08","12.35","51.73","11828.05","0.22","657.11","26","0","2","0","14","23","72","50","14","1"
"251","10","1","1","1","27","110.36","0.11","9","12.28","1101.01","0.04","61.17","4","2","2","0","14","7","17","9","1",""
"252","25","2","1","2","42","195.04","0.11","9.21","21.18","1796.01","0.07","99.78","17","0","3","0","13","8","27","13","3",""
"253","10","2","1","1","37","144.55","0.09","11","11.12","1663.94","0.05","92.44","7","0","1","0","10","5","21","15","3",""
"254","78","10","3","7","254","1505.96","0.03","29.82","52.4","44323.13","0.5","2462.4","68","0","6","0","22","36","152","102","19","1"
"255","11","3","1","1","19","68.11","0.14","7.2","10.57","585.95","0.02","32.54","7","0","2","0","9","5","10","8","5",""
"256","21","5","1","3","115","599.71","0.06","17.05","33.95","7106.69","0.2","394.82","16","0","3","0","14","19","65","50","9",""
"257","10","2","1","2","22","87.57","0.22","4.5","19.46","394.06","0.03","21.89","7","0","1","0","7","7","13","9","3",""
"258","6","1","1","1","18","66.61","0.29","3.5","19.03","233.13","0.02","12.95","4","0","0","0","7","6","11","6","1",""
"259","6","1","1","1","14","43.19","0.5","2","17.27","107.96","0.02","6","3","0","1","0","4","5","8","6","1","1"
"260","17","1","1","1","89","418.34","0.06","16.8","26.42","6025.39","0.13","334.74","12","0","3","0","8","10","56","33","1",""
"261","18","3","1","3","60","294.41","0.09","10.88","25.9","3489.34","0.1","193.85","14","0","2","0","13","16","36","24","5",""
"262","56","7","7","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13",""
"263","243","49","48","46","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","115","1"
"264","29","5","1","4","95","466.15","0.06","17.5","27.12","9406.51","0.16","522.58","19","1","6","0","14","14","60","35","9","1"
"265","8","3","3","2","24","101.95","0.13","7.71","13.22","786.47","0.03","43.69","7","0","1","0","12","7","15","9","5",""
"266","411","33","1","25","1644","10966.19","0.01","73.69","107.04","692845.24","3.66","38491.4","322","4","29","0","24","95","962","682","65","1"
"267","7","1","1","1","12","33.69","0.2","5","6.74","168.44","0.01","9.36","4","0","1","0","5","2","8","4","1",""
"268","12","2","1","2","27","110.36","0.14","7","15.09","720.66","0.04","40.04","11","0","0","0","9","6","17","10","3",""
"269","11","4","1","2","21","77.71","0.16","6.29","13.4","629.47","0.03","34.97","9","0","0","0","9","7","14","7","7",""
"270","17","2","1","2","38","171.3","0.17","5.96","30.23","1111.43","0.06","61.75","10","1","3","0","7","12","23","19","3","1"
"271","21","3","1","1","61","275.94","0.07","14.3","17.75","3516.4","0.09","195.47","14","0","5","0","14","10","40","21","5",""
"272","10","1","1","1","36","133.22","0.11","8.73","14.71","1274.38","0.04","70.8","5","0","2","1","8","7","22","14","1",""
"273","18","1","1","1","44","204.37","0.16","6.07","34.73","1378.48","0.07","76.58","12","0","4","0","7","14","26","22","1",""
"274","7","2","1","1","22","83.76","0.16","6.3","13.3","527.7","0.03","29.32","5","0","0","0","9","5","15","7","3",""
"275","61","12","1","7","201","1098.37","0.04","24.82","43.37","26580.45","0.37","1476.69","54","1","4","0","20","31","96","81","23","1"
"276","25","2","1","2","79","398.51","0.1","9.75","45.88","4551.37","0.13","252.85","21","0","2","0","10","20","46","31","3",""
"277","22","3","1","1","39","173.92","0.1","9.55","17.24","1669.61","0.06","92.17","13","2","4","0","11","11","21","20","5",""
"278","13","5","3","1","31","126.71","0.1","10.5","12.57","1271.82","0.04","70.03","10","0","1","0","14","6","17","10","9",""
"279","9","1","1","1","34","144.43","0.13","8","13.45","1244.1","0.05","69.12","6","0","1","0","10","10","18","16","1",""
"280","5","2","1","2","18","62.27","0.16","6.3","9.83","402.61","0.02","22.37","3","0","0","0","9","5","11","7","3",""
"281","40","11","11","9","123","658.08","0.05","20.29","31.58","13453.78","0.22","747.43","23","17","8","0","16","21","69","44","21",""
"282","11","2","1","2","25","92.51","0.19","5.33","17.85","455.68","0.03","25.32","9","0","0","0","8","6","15","8","3",""
"283","24","7","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13",""
"284","26","6","5","6","85","434.27","0.08","13","30.96","5378.3","0.14","298.06","20","0","4","0","13","16","49","28","11",""
"285","101","15","12","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29","1"
"286","58","3","3","4","222","1173.36","0.03","33.41","38.62","36714.71","0.39","2039.71","43","2","13","0","18","24","143","79","5","1"
"287","16","2","1","2","34","144.43","0.08","13","11.12","1673.96","0.05","93","10","0","4","0","14","6","21","13","3",""
"288","52","6","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11",""
"289","19","4","4","2","72","372.23","0.07","13.42","26.59","4996.43","0.12","277.58","8","0","4","0","16","18","44","26","7",""
"290","61","14","14","7","218","1210.9","0.05","21.72","55.74","26305.77","0.4","1461.43","45","2","10","1","18","29","148","70","27",""
"291","54","9","1","8","188","1025.3","0.05","18.67","58.85","20149.31","0.34","1119.41","43","2","4","0","16","32","118","80","17",""
"292","129","47","25","21","775","5402.69","0.01","73.46","91.89","440290.52","1.8","24460.58","171","5","17","0","40","91","477","298","86","1"
"293","24","2","1","2","34","144.43","0.24","4.13","38.04","674","0.05","37.44","17","0","4","0","6","12","18","17","3",""
"294","8","1","1","1","14","46.51","0.33","3","15.5","139.52","0.02","7.75","6","0","0","0","5","5","8","6","1",""
"295","24","3","1","3","80","396.34","0.07","14.86","26.77","5625.98","0.13","312.75","16","0","5","0","13","14","48","32","5",""
"296","10","2","1","2","29","110.41","0.16","6.3","19.75","527.7","0.04","29.32","7","0","1","0","9","10","17","11","3",""
"297","43","15","15","13","183","980.43","0.04","22.72","43.15","22275.42","0.33","1237.52","37","0","6","0","16","25","93","71","29","1"
"298","10","2","1","2","27","110.36","0.14","7.31","16.86","788.3","0.04","43.79","7","0","1","0","10","8","16","11","3",""
"299","90","13","8","5","246","1301.57","0.04","25.94","52.56","32092.96","0.43","1782.94","71","8","12","1","17","32","139","112","25",""
"300","17","2","1","1","60","283.28","0.08","12","23.44","3546.85","0.09","197.05","14","0","1","0","12","11","36","24","3",""
"301","27","8","8","6","88","438.86","0.06","15.42","27.46","7893.62","0.15","438.53","23","0","2","0","15","18","55","39","15",""
"302","24","2","1","2","81","397.46","0.07","14","28.39","5564.41","0.13","309.13","13","2","5","0","16","18","48","34","3","1"
"303","132","17","16","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33","1"
"304","13","2","1","2","29","116","0.19","5.33","21.58","648","0.04","36","11","0","0","0","8","9","17","12","3",""
"305","33","1","1","1","67","303.08","0.11","9","34.82","2835.71","0.1","157.07","15","8","5","0","9","12","43","24","1",""
"306","4","1","1","1","14","46.51","0.33","3","15.5","139.52","0.02","7.75","2","0","0","0","6","5","8","6","1",""
"307","34","6","1","6","105","549.57","0.04","22.5","24","11909.84","0.18","661.66","26","0","6","0","18","16","70","40","11",""
"308","14","2","1","2","29","110.41","0.13","8","13.55","734.73","0.04","40.82","10","1","2","0","8","5","21","8","3",""
"309","11","2","1","2","23","87.57","0.2","5","17.51","437.84","0.03","24.32","8","0","1","0","7","7","12","10","3",""
"310","36","12","10","6","132","723.79","0.04","26.21","27.43","18543.67","0.24","1030.2","34","0","3","0","22","19","86","51","23","1"
"311","31","6","4","3","102","539.11","0.04","25.07","22.04","12762.57","0.18","709.03","23","0","6","0","19","15","64","38","11",""
"312","186","42","33","27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","83","1"
"313","146","12","7","12","507","3123.84","0.02","48.57","72.85","199427.95","1.04","11079.33","99","15","23","3","33","75","287","223","20","1"
"314","24","2","1","1","0","0","0","0","0","0","0","0","20","0","0","0","0","0","0","0","3",""
"315","10","1","1","1","29","96.34","0.18","5.63","18.99","559.13","0.03","31.01","5","0","3","0","9","8","15","10","1",""
"316","26","4","1","3","100","454.95","0.06","15.83","28.35","6427.26","0.15","359.3","21","1","1","0","9","12","62","38","7",""
"317","19","5","4","4","86","426.06","0.06","16.8","25.7","7690.68","0.14","427.26","13","0","2","0","16","15","49","37","9","1"
"318","11","2","1","2","35","151.27","0.26","3.86","40.06","600.09","0.05","33.34","8","0","1","0","8","14","21","16","3",""
"319","573","49","17","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","97",""
"320","25","4","1","4","59","280.54","0.08","13.24","22.81","4532.26","0.09","251.79","20","0","3","0","15","14","40","23","7",""
"321","37","6","1","2","94","496.31","0.05","21.65","22.95","8935.73","0.17","496.31","24","6","6","0","16","17","52","44","11",""
"322","43","4","1","4","143","761.04","0.07","13.59","62.46","9981.07","0.25","554.5","30","1","7","0","14","36","75","62","7",""
"323","6","1","1","1","12","39.86","0.33","3","13.29","119.59","0.01","6.64","3","0","1","0","6","4","8","4","1",""
"324","50","4","1","4","184","1038.47","0.05","22.73","45.36","21086.71","0.35","1171.48","40","0","8","0","21","31","102","72","7","1"
"325","74","4","1","2","156","874.8","0.11","9.51","95.86","18186.43","0.29","1010.36","46","2","14","0","12","35","77","77","7","1"
"326","25","2","1","2","100","495.6","0.07","14.15","32.61","6135.2","0.17","340.84","19","0","4","0","12","17","57","43","3",""
"327","52","8","7","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","1"
"328","22","3","1","2","53","225.14","0.11","9.1","26.33","1924.95","0.08","106.94","15","0","3","0","13","10","34","15","5",""
"329","13","3","1","2","27","108","0.12","8.33","12.92","870","0.04","48.89","10","0","1","0","10","6","17","10","5",""
"330","19","1","1","1","49","254.79","0.2","5","54.57","1584.58","0.08","88.03","15","0","0","0","7","18","31","22","1",""
"331","12","3","3","2","27","110.36","0.17","5.83","17.84","592.96","0.04","32.94","8","0","2","0","10","6","18","9","5",""
"332","7","1","1","1","15","53.77","0.17","5.83","9.11","278.2","0.02","15.46","4","0","1","0","9","3","13","3","1",""
"333","48","20","19","1","123","706.68","0.05","21.08","33.07","14549.77","0.24","808.32","42","0","2","4","21","24","77","46","39",""
"334","34","5","1","4","81","408.6","0.07","15.42","29.79","6299.19","0.14","349.95","25","1","5","0","15","18","44","37","9","1"
"335","362","1","1","1","1586","11112.3","0.02","43.03","185.24","587317.09","3.8","32628.73","303","0","21","0","13","84","804","546","1",""
"336","75","12","10","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23",""
"337","9","1","1","1","16","53.15","0.17","5.83","8.96","322.65","0.02","17.92","5","1","0","0","5","3","9","7","1",""
"338","8","3","1","2","22","83.76","0.15","6.67","12.56","558.41","0.03","31.02","6","1","0","0","8","6","12","10","5",""
"339","4","1","1","1","12","39.86","0.27","3.75","10.63","149.49","0.01","8.3","2","0","0","0","7","4","7","5","1",""
"340","13","2","1","2","31","120.93","0.14","7","17.28","846.49","0.04","47.03","8","0","2","0","9","6","19","14","3","1"
"341","40","4","1","4","116","574.69","0.04","24.57","21.47","13717.23","0.19","762.07","31","1","7","0","16","14","70","46","7",""
"342","32","7","5","7","141","745.24","0.03","33.33","21.08","27983.33","0.25","1554.63","31","0","1","0","20","15","90","51","13",""
"343","123","16","5","11","434","2634.98","0.03","35.37","84.19","123651.53","0.88","6869.53","99","2","8","0","27","59","275","171","31","1"
"344","29","4","3","2","113","618.39","0.07","14.17","43.13","8348.29","0.21","463.79","22","0","5","0","15","29","62","51","7","1"
"345","12","2","1","2","20","78.14","0.27","3.75","22.34","314.11","0.03","17.45","9","0","1","0","6","8","10","10","3",""
"346","10","3","3","2","24","91.38","0.12","8.1","9.87","785.02","0.03","43.61","7","0","1","0","9","5","14","10","5",""
"347","20","3","1","3","50","229.25","0.11","8.8","24.23","1971.45","0.08","109.62","15","0","2","0","11","15","28","22","5",""
"348","60","13","9","5","193","997.14","0.03","30.95","34.18","32595.46","0.33","1810.86","43","3","11","0","20","27","103","80","25","1"
"349","43","6","1","5","109","563.52","0.04","22.91","23.26","12911.28","0.19","717.29","30","0","11","0","16","16","68","41","11",""
"350","16","2","1","2","36","152.93","0.13","8","18.35","1383.02","0.05","76.83","13","0","1","0","10","10","20","16","3","1"
"351","22","3","1","3","40","183.4","0.12","8.25","22.92","1467.19","0.06","81.51","16","0","3","0","11","10","25","15","5",""
"352","17","2","1","2","41","185.47","0.13","8","20.41","1548.29","0.06","86.02","9","1","4","0","9","9","27","16","3",""
"353","112","11","1","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","1"
"354","7","1","1","1","15","55.51","0.21","4.8","11.53","265.68","0.02","14.76","5","0","1","0","6","5","8","8","1",""
"355","19","3","1","3","32","130.8","0.14","7.31","17.89","956.47","0.04","53.14","13","0","2","0","9","8","18","12","5",""
"356","8","1","1","1","23","89.86","0.23","4.38","20.54","393.13","0.03","21.84","5","0","1","0","7","7","13","10","1",""
"357","13","2","1","1","19","68.11","0.18","5.5","12.97","423.78","0.02","23.54","10","0","0","0","6","6","10","11","3",""
"358","28","4","1","2","98","535.76","0.05","19.69","26.83","10885.9","0.18","604.77","21","0","5","0","18","16","61","37","7",""
"359","13","3","1","2","39","171.3","0.1","9.39","17.13","1758.5","0.06","97.69","9","0","2","0","12","9","21","17","5",""
"360","20","4","1","4","43","185.84","0.15","6.65","29.5","1486.74","0.06","82.6","18","0","0","0","7","14","24","19","5","1"
"361","10","1","1","1","25","97.67","0.25","4","25.29","467.14","0.03","25.95","7","0","1","0","6","8","17","10","1",""
"362","76","6","1","4","166","900.34","0.05","20.46","42.59","18957.02","0.3","1052.73","56","0","12","0","16","27","90","76","11","1"
"363","12","1","1","1","39","159.41","0.17","5.78","27.59","921.55","0.05","51.2","7","0","3","0","6","9","21","18","1","1"
"364","43","10","5","5","117","585.15","0.03","31.91","17.65","18509.19","0.2","1028.29","32","0","2","0","18","11","65","48","19",""
"365","17","5","1","1","42","174.17","0.07","15.17","11.48","2641.5","0.06","146.75","14","0","1","0","13","6","28","14","9",""
"366","25","3","1","3","40","173.92","0.11","9.05","18.62","1659.28","0.06","92.18","14","7","3","0","11","10","24","16","5",""
"367","8","2","1","2","19","74.23","0.18","5.71","15.86","389.71","0.02","21.19","5","0","1","0","8","7","11","8","3",""
"368","161","34","25","26","825","5811.59","0.02","49.71","73.15","317656.99","1.94","17647.61","128","12","43","0","27","60","480","304","67","1"
"369","170","16","7","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31","1"
"370","7","1","1","1","10","31.7","0.4","2.5","12.68","79.25","0.01","4.4","3","1","0","0","5","3","7","3","1",""
"371","82","12","11","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23","1"
"372","15","2","1","2","41","182.84","0.17","6","31.28","1044.78","0.06","58.04","11","1","2","0","10","12","26","15","3",""
"373","167","38","23","11","581","3177.38","0.02","64.48","62.29","251971","1.06","13998.39","125","29","20","6","25","48","308","218","75",""
"374","7","1","1","1","12","39.86","0.33","3","16.61","149.49","0.01","8.3","3","1","1","0","6","5","7","5","1",""
"375","11","2","1","2","23","89.86","0.25","4","20.76","333.04","0.03","18.54","6","2","1","0","6","7","14","7","3",""
"376","84","19","18","8","304","1893.56","0.03","34.76","54.38","63844.18","0.63","3546.9","67","8","7","0","21","37","174","118","37","1"
"377","8","1","1","1","17","58.81","0.29","3.5","17.97","232.53","0.02","12.92","4","0","2","0","7","6","12","6","1",""
"378","29","3","1","3","76","386.65","0.08","12.35","29.52","4690.16","0.13","260.56","21","0","6","0","13","15","46","30","5",""
"379","14","2","1","1","38","161.42","0.15","6.82","25.91","1038.47","0.05","57.69","9","0","3","0","10","11","22","16","3",""
"380","10","1","1","1","26","96.21","0.29","3.44","26.91","318.01","0.03","17.67","5","0","3","0","5","8","15","11","1",""
"381","47","11","6","8","166","856.15","0.05","20.89","45.96","14503.5","0.29","805.47","39","1","4","0","15","27","102","68","21","1"
"382","7","2","1","2","20","80","0.16","6.43","12.44","514.28","0.03","28.57","4","0","1","0","8","7","10","10","3",""
"383","20","3","3","3","41","180.09","0.12","8.56","19.29","1613.53","0.06","89.64","15","0","2","0","11","9","27","14","5",""
"384","34","6","6","5","195","1030.65","0.03","33.19","32.65","33593.77","0.34","1866.13","26","1","4","1","21","22","110","73","11",""
"385","12","1","1","1","30","122.62","0.26","3.85","28.85","520.37","0.04","28.91","9","0","1","0","7","10","17","13","1",""
"386","19","2","1","2","40","177.2","0.2","5.06","34.64","806.76","0.06","44.82","12","4","2","0","8","14","23","17","3",""
"387","19","2","1","2","31","142.13","0.19","5.18","27.21","631","0.05","35.06","8","0","5","0","9","11","19","12","3",""
"388","36","3","1","2","105","546.99","0.05","21","26.45","12893.4","0.18","716.3","25","3","7","0","18","18","63","42","5",""
"389","193","36","9","25","595","3570","0.01","67.04","53.25","268090.15","1.19","14892.69","157","22","23","0","29","41","356","236","71","1"
"390","89","8","1","5","223","1300.6","0.05","21.82","62.76","26903.76","0.43","1494.65","57","3","18","2","19","34","148","81","15",""
"391","16","3","1","2","27","108.42","0.13","7.88","16.42","1084.18","0.04","60.23","10","1","3","0","12","8","16","11","5",""
"392","14","3","3","1","30","125.1","0.12","8.64","14.47","1081.2","0.04","60.07","11","0","1","0","11","7","19","11","5",""
"393","29","6","4","3","84","408.94","0.05","18.63","22.09","8349.4","0.14","463.86","25","0","3","2","17","16","47","37","11",""
"394","48","6","6","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","1"
"395","10","2","1","2","29","125.34","0.12","8.64","14.3","1426.66","0.04","79.26","6","0","2","0","11","7","18","11","3",""
"396","39","6","1","5","136","712.54","0.03","28.42","23.61","18526.03","0.24","1029.22","34","0","2","0","17","19","76","60","11",""
"397","10","2","1","2","26","104","0.15","6.87","16.47","728","0.03","40.44","8","0","0","0","10","8","13","11","3",""
"398","40","5","1","5","106","525.14","0.06","16.58","32.07","9813.43","0.18","545.19","35","0","1","0","15","20","61","46","7",""
"399","18","1","1","1","79","358.2","0.08","12.07","29","4866.12","0.12","270.34","8","1","8","0","10","14","46","31","1",""
"400","15","2","1","1","39","165.67","0.12","8.33","19.88","1380.58","0.06","76.7","11","0","2","0","10","9","25","15","3",""
"401","13","3","1","3","32","125.02","0.14","7.31","17.55","1076.85","0.04","59.82","9","0","2","0","9","8","19","13","5","1"
"402","25","5","3","4","110","593.15","0.05","20","30.96","11032.88","0.2","612.94","21","0","2","0","15","21","64","46","9",""
"403","60","9","5","5","144","866.52","0.03","32.1","26.99","27818.77","0.29","1545.49","45","0","3","0","23","24","89","67","17","1"
"404","8","2","1","2","21","79.95","0.15","6.67","11.99","527.95","0.03","29.33","6","0","0","0","8","4","13","8","3",""
"405","172","25","29","20","529","3538.24","0.02","52.59","67.59","148252.29","1.18","8236.24","130","23","15","4","22","54","297","217","49","1"
"406","39","4","1","4","101","523.19","0.09","10.75","46.46","4433.56","0.17","246.31","29","0","6","0","14","24","58","37","7","1"
"407","68","5","1","4","191","1150.53","0.05","20.89","43.49","22051.72","0.38","1225.47","47","6","9","0","20","32","112","79","9","1"
"408","10","3","1","3","21","77.71","0.2","5.06","15.21","293.17","0.03","16.29","6","0","2","0","9","8","14","7","5","1"
"409","15","2","1","2","51","242.5","0.12","8.44","28.71","1927.47","0.08","107.08","12","0","1","0","9","12","31","20","3",""
"410","11","3","1","2","25","102.19","0.16","6.43","15.19","555.43","0.03","30.86","9","0","0","0","9","7","15","9","5",""
"411","7","1","1","1","10","30","0.4","2.5","12","75","0.01","4.17","5","0","0","0","5","3","7","3","1",""
"412","11","2","1","2","13","41.21","0.5","2","20.6","82.42","0.01","4.58","6","2","1","0","4","5","8","5","3",""
"413","11","2","1","2","43","204.46","0.15","6.65","28.19","1386.26","0.07","76.68","9","0","0","0","7","10","24","19","3",""
"414","47","6","1","4","104","524.62","0.04","23.75","22.09","12459.65","0.18","692.2","31","7","4","2","19","14","69","35","11",""
"415","15","2","1","2","32","142.7","0.19","5.23","28.85","850.08","0.05","47.23","11","0","2","0","10","13","19","13","3",""
"416","22","4","1","3","65","298.02","0.09","11.67","27.33","3630.98","0.1","201.78","19","0","1","0","11","12","40","25","7",""
"417","32","3","3","1","70","343.02","0.07","15.3","21.41","5501.96","0.11","305.66","17","10","4","3","16","15","43","27","5","1"
"418","68","7","6","7","172","998.87","0.06","17.37","56.86","17296.46","0.33","960.91","46","8","7","5","17","36","104","66","13","1"
"419","176","21","1","10","445","2811.49","0.02","63.88","47.21","172435.02","0.94","9579.72","129","24","9","0","26","49","256","191","40",""
"420","11","2","1","2","32","120","0.09","10.8","11.35","1326","0.04","73.67","8","0","1","0","12","5","20","12","3",""
"421","25","3","1","2","55","267.19","0.08","12.5","20.14","3105.67","0.09","172.54","19","0","4","0","13","13","30","25","5",""
"422","26","3","1","2","50","230.7","0.11","9","26.7","1924.95","0.08","106.84","19","0","4","0","14","16","29","18","5",""
"423","16","2","1","2","30","122.62","0.19","5.4","24.38","712.12","0.04","39.56","12","0","2","0","9","10","18","12","3","1"
"424","206","16","10","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31","1"
"425","13","3","1","2","50","222.97","0.11","9.1","23.92","2104.23","0.07","116.9","10","0","1","0","14","12","30","18","5",""
"426","9","1","1","1","18","66.61","0.25","4","16.3","271.98","0.02","15.11","5","0","2","0","8","6","10","8","1",""
"427","14","2","1","1","30","114.22","0.16","6.19","17.57","662.48","0.04","36.8","10","0","2","0","7","8","17","11","3",""
"428","10","1","1","1","34","141.78","0.14","7","20.93","1016.32","0.05","56.46","4","2","2","0","10","10","22","14","1",""
"429","27","6","4","4","102","527.33","0.04","23.63","23.43","10824.5","0.18","604.64","23","0","2","0","14","12","64","38","11",""
"430","23","3","1","3","57","244.42","0.08","13.06","17.33","3442.8","0.08","191.46","20","0","2","0","11","8","34","21","5",""
"431","40","4","1","3","129","691.12","0.06","17.5","40.47","12524.14","0.23","695.79","31","1","4","0","11","22","80","59","7","1"
"432","7","3","1","2","14","50.19","0.22","4.5","10.33","209.28","0.02","11.63","5","0","0","0","6","4","8","6","5",""
"433","5","1","1","1","13","43.19","0.29","3.5","14.4","129.56","0.01","7.2","3","0","0","0","7","4","9","4","1",""
"434","26","6","5","1","55","277.33","0.04","22.5","11.95","6087.75","0.09","338.21","19","3","3","0","18","8","35","20","11",""
"435","15","3","1","2","31","131.69","0.08","13","10.13","1798.93","0.04","99.94","11","0","2","0","13","5","19","12","5","1"
"436","36","6","4","3","90","434.27","0.05","19.2","24.82","9499.74","0.17","527.76","25","8","1","0","16","15","61","39","11",""
"437","16","3","1","2","36","155.59","0.13","7.73","19.29","1168.74","0.05","64.93","13","0","1","0","8","11","19","17","5",""
"438","8","2","1","2","18","68.53","0.29","3.5","19.46","238.4","0.02","13.24","5","0","1","0","6","6","9","9","3",""
"439","16","2","1","1","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","3",""
"440","18","3","1","3","45","191.16","0.14","6.92","25.91","1624.19","0.06","90.23","14","0","2","0","10","13","27","18","5",""
"441","18","1","1","1","38","155.32","0.67","1.5","78.82","338.78","0.05","18.82","12","1","4","0","3","14","25","17","1","1"
"442","42","9","1","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","1"
"443","10","1","1","1","57","261.33","0.15","6.5","41.97","1515.02","0.09","84.17","8","0","0","0","7","14","29","26","1",""
"444","19","2","1","2","53","239.75","0.09","11.45","21.24","2746.84","0.08","152.6","12","0","1","0","12","11","32","21","3",""
"445","12","1","1","1","35","138.97","0.13","7.5","19.47","1172.59","0.05","65.14","9","0","1","0","9","9","20","15","1",""
"446","18","6","5","3","209","1112.28","0.06","17.79","62.53","19750.95","0.37","1097.28","13","0","2","1","17","32","160","83","11",""
"447","4","2","1","2","14","50.19","0.25","4","11.15","199.32","0.02","11.07","2","0","0","0","8","3","11","3","3",""
"448","23","4","1","2","57","257.83","0.09","11.85","24.52","3086.88","0.09","171.49","16","0","4","0","11","13","31","26","7",""
"449","10","2","1","2","18","68.53","0.29","3.5","19.58","239.86","0.02","13.33","7","1","1","0","7","7","11","7","3",""
"450","143","14","6","4","365","2023.63","0.01","133.33","14.63","260000","0.67","14444.44","126","12","4","0","22","26","230","131","27","1"
"451","13","3","1","3","41","182.84","0.13","7.73","24.38","1421.44","0.06","78.97","10","0","1","0","12","11","26","15","5","1"
"452","79","7","1","7","266","1537.84","0.04","28.31","57.31","44234.31","0.51","2457.46","60","6","9","0","16","39","157","113","13","1"
"453","16","2","1","1","32","140.55","0.15","6.67","19.75","1046.69","0.05","58.15","12","0","2","0","10","9","21","11","3",""
"454","90","8","4","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","1"
